City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
349,Margate,51.3813,1.3862,49.1,78,1,4.0,GB,2022-05-08 19:49:53,clear sky
350,Asau,46.4333,26.4,52.95,75,100,2.35,RO,2022-05-08 19:49:53,overcast clouds
351,Leningradskiy,69.3833,178.4167,22.53,94,100,5.37,RU,2022-05-08 19:49:54,overcast clouds
352,Kamaishi,39.2667,141.8833,47.5,83,100,6.15,JP,2022-05-08 19:49:55,overcast clouds
353,Mayo,38.8876,-76.5119,55.81,63,100,18.41,US,2022-05-08 19:49:56,overcast clouds
354,Clyde River,70.4692,-68.5914,26.83,86,100,9.22,CA,2022-05-08 19:49:56,overcast clouds
355,Shimoda,34.6667,138.95,57.11,86,100,2.82,JP,2022-05-08 19:49:57,overcast clouds
356,Kaiyuan,23.6977,103.3037,64.8,93,24,5.91,CN,2022-05-08 19:49:57,few clouds
357,Ampanihy,-24.7,44.75,69.94,85,13,2.24,MG,2022-05-08 19:49:58,few clouds
358,Saint-Leu,-21.15,55.2833,72.46,76,0,3.87,RE,2022-05-08 19:49:58,clear sky
359,Orlovskiy,46.8714,42.0592,48.94,49,64,8.68,RU,2022-05-08 19:49:59,broken clouds
360,Chuy,-33.6971,-53.4616,64.96,68,5,4.47,UY,2022-05-08 19:50:00,clear sky
361,Maroantsetra,-15.4333,49.7333,75.56,88,45,1.1,MG,2022-05-08 19:50:00,light rain
362,Grootfontein,-19.5667,18.1167,54.97,54,0,4.61,NA,2022-05-08 19:51:01,clear sky
363,Pacific Grove,36.6177,-121.9166,60.91,68,40,18.41,US,2022-05-08 19:49:13,scattered clouds
364,Bogo,11.0517,124.0055,79.39,79,40,11.18,PH,2022-05-08 19:51:02,scattered clouds
365,Broadstairs,51.3591,1.4394,48.99,77,4,4.0,GB,2022-05-08 19:51:02,clear sky
366,Husavik,66.0449,-17.3389,43.41,89,100,2.86,IS,2022-05-08 19:51:03,overcast clouds
367,Uniontown,39.9001,-79.7164,66.22,31,2,4.0,US,2022-05-08 19:51:04,clear sky
368,Tabas,33.5959,56.9244,79.14,26,31,10.31,IR,2022-05-08 19:51:04,scattered clouds
369,Kavieng,-2.5744,150.7967,83.39,70,100,16.84,PG,2022-05-08 19:51:05,overcast clouds
370,Torbay,47.6666,-52.7314,45.88,65,20,13.8,CA,2022-05-08 19:51:06,few clouds
